
Type	Value	pF	Accuracy	Voltage Rating
Film Capacitor	10 nF	10000	5% (J)	100V
Film Capacitor	10 nF	10000	5% (J)	110V
Film Capacitor	10 nF	10000	5% (J)	125V
Film Capacitor	10 nF	10000	5% (J)	250V
Film Capacitor	10 nF	10000	5% (J)	275V
Film Capacitor	10 nF	10000	5% (J)	375V
Film Capacitor	10 nF	10000	5% (J)	400V
Film Capacitor	10 nF	10000	5% (J)	450V
Film Capacitor	10 nF	10000	5% (J)	630V
Film Capacitor	12 nF	12000	5% (J)	16V
Film Capacitor	12 nF	12000	5% (J)	25V
Film Capacitor	12 nF	12000	5% (J)	50V
Film Capacitor	12 nF	12000	5% (J)	63V
Film Capacitor	12 nF	12000	5% (J)	90V
Film Capacitor	12 nF	12000	5% (J)	100V
Film Capacitor	12 nF	12000	5% (J)	110V
Film Capacitor	12 nF	12000	5% (J)	125V
Film Capacitor	12 nF	12000	5% (J)	250V
Film Capacitor	12 nF	12000	5% (J)	275V
Film Capacitor	12 nF	12000	5% (J)	375V
Film Capacitor	12 nF	12000	5% (J)	400V
Film Capacitor	12 nF	12000	5% (J)	450V
Film Capacitor	12 nF	12000	5% (J)	630V
Film Capacitor	15 nF	15000	5% (J)	16V
Film Capacitor	15 nF	15000	5% (J)	25V
Film Capacitor	15 nF	15000	5% (J)	50V
Film Capacitor	15 nF	15000	5% (J)	63V
Film Capacitor	15 nF	15000	5% (J)	90V
Film Capacitor	15 nF	15000	5% (J)	100V
Film Capacitor	15 nF	15000	5% (J)	110V
Film Capacitor	15 nF	15000	5% (J)	125V
Film Capacitor	15 nF	15000	5% (J)	250V
Film Capacitor	15 nF	15000	5% (J)	275V
Film Capacitor	15 nF	15000	5% (J)	375V
Film Capacitor	15 nF	15000	5% (J)	400V
Film Capacitor	15 nF	15000	5% (J)	450V
Film Capacitor	15 nF	15000	5% (J)	630V
Film Capacitor	18 nF	18000	5% (J)	16V
Film Capacitor	18 nF	18000	5% (J)	25V
Film Capacitor	18 nF	18000	5% (J)	50V
Film Capacitor	18 nF	18000	5% (J)	63V
Film Capacitor	18 nF	18000	5% (J)	90V
Film Capacitor	18 nF	18000	5% (J)	100V
Film Capacitor	18 nF	18000	5% (J)	110V
Film Capacitor	18 nF	18000	5% (J)	125V
Film Capacitor	18 nF	18000	5% (J)	250V
Film Capacitor	18 nF	18000	5% (J)	275V
Film Capacitor	18 nF	18000	5% (J)	375V
Film Capacitor	18 nF	18000	5% (J)	400V
Film Capacitor	18 nF	18000	5% (J)	450V
Film Capacitor	18 nF	18000	5% (J)	630V
Film Capacitor	22 nF	22000	5% (J)	16V
Film Capacitor	22 nF	22000	5% (J)	25V
Film Capacitor	22 nF	22000	5% (J)	50V
Film Capacitor	22 nF	22000	5% (J)	63V
Film Capacitor	22 nF	22000	5% (J)	90V
Film Capacitor	22 nF	22000	5% (J)	100V
Film Capacitor	22 nF	22000	5% (J)	110V
Film Capacitor	22 nF	22000	5% (J)	125V
Film Capacitor	22 nF	22000	5% (J)	250V
Film Capacitor	22 nF	22000	5% (J)	275V
Film Capacitor	22 nF	22000	5% (J)	375V
Film Capacitor	22 nF	22000	5% (J)	400V
Film Capacitor	22 nF	22000	5% (J)	450V
Film Capacitor	22 nF	22000	5% (J)	630V
Film Capacitor	27 nF	27000	5% (J)	16V
Film Capacitor	27 nF	27000	5% (J)	25V
Film Capacitor	27 nF	27000	5% (J)	50V
Film Capacitor	27 nF	27000	5% (J)	63V
Film Capacitor	27 nF	27000	5% (J)	90V
Film Capacitor	27 nF	27000	5% (J)	100V
Film Capacitor	27 nF	27000	5% (J)	110V
Film Capacitor	27 nF	27000	5% (J)	125V
Film Capacitor	27 nF	27000	5% (J)	250V
Film Capacitor	27 nF	27000	5% (J)	275V
Film Capacitor	27 nF	27000	5% (J)	375V
Film Capacitor	27 nF	27000	5% (J)	400V
Film Capacitor	27 nF	27000	5% (J)	450V
Film Capacitor	27 nF	27000	5% (J)	630V
Film Capacitor	33 nF	33000	5% (J)	16V
Film Capacitor	33 nF	33000	5% (J)	25V
Film Capacitor	33 nF	33000	5% (J)	50V
Film Capacitor	33 nF	33000	5% (J)	63V
Film Capacitor	33 nF	33000	5% (J)	90V
Film Capacitor	33 nF	33000	5% (J)	100V
Film Capacitor	33 nF	33000	5% (J)	110V
Film Capacitor	33 nF	33000	5% (J)	125V
Film Capacitor	33 nF	33000	5% (J)	250V
Film Capacitor	33 nF	33000	5% (J)	275V
Film Capacitor	33 nF	33000	5% (J)	375V
Film Capacitor	33 nF	33000	5% (J)	400V
Film Capacitor	33 nF	33000	5% (J)	450V
Film Capacitor	33 nF	33000	5% (J)	630V
Film Capacitor	39 nF	39000	5% (J)	16V
Film Capacitor	39 nF	39000	5% (J)	25V
Film Capacitor	39 nF	39000	5% (J)	50V
Film Capacitor	39 nF	39000	5% (J)	63V
Film Capacitor	39 nF	39000	5% (J)	90V
Film Capacitor	39 nF	39000	5% (J)	100V
Film Capacitor	39 nF	39000	5% (J)	110V
Film Capacitor	39 nF	39000	5% (J)	125V
Film Capacitor	39 nF	39000	5% (J)	250V
Film Capacitor	39 nF	39000	5% (J)	275V
Film Capacitor	39 nF	39000	5% (J)	375V
Film Capacitor	39 nF	39000	5% (J)	400V
Film Capacitor	39 nF	39000	5% (J)	450V
Film Capacitor	39 nF	39000	5% (J)	630V
Film Capacitor	47 nF	47000	5% (J)	16V
Film Capacitor	47 nF	47000	5% (J)	25V
Film Capacitor	47 nF	47000	5% (J)	50V
Film Capacitor	47 nF	47000	5% (J)	63V
Film Capacitor	47 nF	47000	5% (J)	90V
Film Capacitor	47 nF	47000	5% (J)	100V
Film Capacitor	47 nF	47000	5% (J)	110V
Film Capacitor	47 nF	47000	5% (J)	125V
Film Capacitor	47 nF	47000	5% (J)	250V
Film Capacitor	47 nF	47000	5% (J)	275V
Film Capacitor	47 nF	47000	5% (J)	375V
Film Capacitor	47 nF	47000	5% (J)	400V
Film Capacitor	47 nF	47000	5% (J)	450V
Film Capacitor	47 nF	47000	5% (J)	630V
Film Capacitor	56 nF	56000	5% (J)	16V
Film Capacitor	56 nF	56000	5% (J)	25V
Film Capacitor	56 nF	56000	5% (J)	50V
Film Capacitor	56 nF	56000	5% (J)	63V
Film Capacitor	56 nF	56000	5% (J)	90V
Film Capacitor	56 nF	56000	5% (J)	100V
Film Capacitor	56 nF	56000	5% (J)	110V
Film Capacitor	56 nF	56000	5% (J)	125V
Film Capacitor	56 nF	56000	5% (J)	250V
Film Capacitor	56 nF	56000	5% (J)	275V
Film Capacitor	56 nF	56000	5% (J)	375V
Film Capacitor	56 nF	56000	5% (J)	400V
Film Capacitor	56 nF	56000	5% (J)	450V
Film Capacitor	56 nF	56000	5% (J)	630V
Film Capacitor	68 nF	68000	5% (J)	16V
Film Capacitor	68 nF	68000	5% (J)	25V
Film Capacitor	68 nF	68000	5% (J)	50V
Film Capacitor	68 nF	68000	5% (J)	63V
Film Capacitor	68 nF	68000	5% (J)	90V
Film Capacitor	68 nF	68000	5% (J)	100V
Film Capacitor	68 nF	68000	5% (J)	110V
Film Capacitor	68 nF	68000	5% (J)	125V
Film Capacitor	68 nF	68000	5% (J)	250V
Film Capacitor	68 nF	68000	5% (J)	275V
Film Capacitor	68 nF	68000	5% (J)	375V
Film Capacitor	68 nF	68000	5% (J)	400V
Film Capacitor	68 nF	68000	5% (J)	450V
Film Capacitor	68 nF	68000	5% (J)	630V
Film Capacitor	82 nF	82000	5% (J)	16V
Film Capacitor	82 nF	82000	5% (J)	25V
Film Capacitor	82 nF	82000	5% (J)	50V
Film Capacitor	82 nF	82000	5% (J)	63V
Film Capacitor	82 nF	82000	5% (J)	90V
Film Capacitor	82 nF	82000	5% (J)	100V
Film Capacitor	82 nF	82000	5% (J)	110V
Film Capacitor	82 nF	82000	5% (J)	125V
Film Capacitor	82 nF	82000	5% (J)	250V
Film Capacitor	82 nF	82000	5% (J)	275V
Film Capacitor	82 nF	82000	5% (J)	375V
Film Capacitor	82 nF	82000	5% (J)	400V
Film Capacitor	82 nF	82000	5% (J)	450V
Film Capacitor	82 nF	82000	5% (J)	630V
Film Capacitor	100 nF	100000	5% (J)	16V
Film Capacitor	100 nF	100000	5% (J)	25V
Film Capacitor	100 nF	100000	5% (J)	50V
Film Capacitor	100 nF	100000	5% (J)	63V
Film Capacitor	100 nF	100000	5% (J)	90V
Film Capacitor	100 nF	100000	5% (J)	100V
Film Capacitor	100 nF	100000	5% (J)	110V
Film Capacitor	100 nF	100000	5% (J)	125V
Film Capacitor	100 nF	100000	5% (J)	250V
Film Capacitor	100 nF	100000	5% (J)	275V
Film Capacitor	100 nF	100000	5% (J)	375V
Film Capacitor	100 nF	100000	5% (J)	400V
Film Capacitor	100 nF	100000	5% (J)	450V
Film Capacitor	100 nF	100000	5% (J)	630V
Film Capacitor	120 nF	120000	5% (J)	16V
Film Capacitor	120 nF	120000	5% (J)	25V
Film Capacitor	120 nF	120000	5% (J)	50V
Film Capacitor	120 nF	120000	5% (J)	63V
Film Capacitor	120 nF	120000	5% (J)	90V
Film Capacitor	120 nF	120000	5% (J)	100V
Film Capacitor	120 nF	120000	5% (J)	110V
Film Capacitor	120 nF	120000	5% (J)	125V
Film Capacitor	120 nF	120000	5% (J)	250V
Film Capacitor	120 nF	120000	5% (J)	275V
Film Capacitor	120 nF	120000	5% (J)	375V
Film Capacitor	120 nF	120000	5% (J)	400V
Film Capacitor	120 nF	120000	5% (J)	450V
Film Capacitor	120 nF	120000	5% (J)	630V
Film Capacitor	150 nF	150000	5% (J)	16V
Film Capacitor	150 nF	150000	5% (J)	25V
Film Capacitor	150 nF	150000	5% (J)	50V
Film Capacitor	150 nF	150000	5% (J)	63V
Film Capacitor	150 nF	150000	5% (J)	90V
Film Capacitor	150 nF	150000	5% (J)	100V
Film Capacitor	150 nF	150000	5% (J)	110V
Film Capacitor	150 nF	150000	5% (J)	125V
Film Capacitor	150 nF	150000	5% (J)	250V
Film Capacitor	150 nF	150000	5% (J)	275V
Film Capacitor	150 nF	150000	5% (J)	375V
Film Capacitor	150 nF	150000	5% (J)	400V
Film Capacitor	150 nF	150000	5% (J)	450V
Film Capacitor	150 nF	150000	5% (J)	630V
Film Capacitor	180 nF	180000	5% (J)	16V
Film Capacitor	180 nF	180000	5% (J)	25V
Film Capacitor	180 nF	180000	5% (J)	50V
Film Capacitor	180 nF	180000	5% (J)	63V
Film Capacitor	180 nF	180000	5% (J)	90V
Film Capacitor	180 nF	180000	5% (J)	100V
Film Capacitor	180 nF	180000	5% (J)	110V
Film Capacitor	180 nF	180000	5% (J)	125V
Film Capacitor	180 nF	180000	5% (J)	250V
Film Capacitor	180 nF	180000	5% (J)	275V
Film Capacitor	180 nF	180000	5% (J)	375V
Film Capacitor	180 nF	180000	5% (J)	400V
Film Capacitor	180 nF	180000	5% (J)	450V
Film Capacitor	180 nF	180000	5% (J)	630V
Film Capacitor	220 nF	220000	5% (J)	16V
Film Capacitor	220 nF	220000	5% (J)	25V
Film Capacitor	220 nF	220000	5% (J)	50V
Film Capacitor	220 nF	220000	5% (J)	63V
Film Capacitor	220 nF	220000	5% (J)	90V
Film Capacitor	220 nF	220000	5% (J)	100V
Film Capacitor	220 nF	220000	5% (J)	110V
Film Capacitor	220 nF	220000	5% (J)	125V
Film Capacitor	220 nF	220000	5% (J)	250V
Film Capacitor	220 nF	220000	5% (J)	275V
Film Capacitor	220 nF	220000	5% (J)	375V
Film Capacitor	220 nF	220000	5% (J)	400V
Film Capacitor	220 nF	220000	5% (J)	450V
Film Capacitor	220 nF	220000	5% (J)	630V
Film Capacitor	270 nF	270000	5% (J)	16V
Film Capacitor	270 nF	270000	5% (J)	25V
Film Capacitor	270 nF	270000	5% (J)	50V
Film Capacitor	270 nF	270000	5% (J)	63V
Film Capacitor	270 nF	270000	5% (J)	90V
Film Capacitor	270 nF	270000	5% (J)	100V
Film Capacitor	270 nF	270000	5% (J)	110V
Film Capacitor	270 nF	270000	5% (J)	125V
Film Capacitor	270 nF	270000	5% (J)	250V
Film Capacitor	270 nF	270000	5% (J)	275V
Film Capacitor	270 nF	270000	5% (J)	375V
Film Capacitor	270 nF	270000	5% (J)	400V
Film Capacitor	270 nF	270000	5% (J)	450V
Film Capacitor	270 nF	270000	5% (J)	630V
Film Capacitor	330 nF	330000	5% (J)	16V
Film Capacitor	330 nF	330000	5% (J)	25V
Film Capacitor	330 nF	330000	5% (J)	50V
Film Capacitor	330 nF	330000	5% (J)	63V
Film Capacitor	330 nF	330000	5% (J)	90V
Film Capacitor	330 nF	330000	5% (J)	100V
Film Capacitor	330 nF	330000	5% (J)	110V
Film Capacitor	330 nF	330000	5% (J)	125V
Film Capacitor	330 nF	330000	5% (J)	250V
Film Capacitor	330 nF	330000	5% (J)	275V
Film Capacitor	330 nF	330000	5% (J)	375V
Film Capacitor	330 nF	330000	5% (J)	400V
Film Capacitor	330 nF	330000	5% (J)	450V
Film Capacitor	330 nF	330000	5% (J)	630V
Film Capacitor	390 nF	390000	5% (J)	16V
Film Capacitor	390 nF	390000	5% (J)	25V
Film Capacitor	390 nF	390000	5% (J)	50V
Film Capacitor	390 nF	390000	5% (J)	63V
Film Capacitor	390 nF	390000	5% (J)	90V
Film Capacitor	390 nF	390000	5% (J)	100V
Film Capacitor	390 nF	390000	5% (J)	110V
Film Capacitor	390 nF	390000	5% (J)	125V
Film Capacitor	390 nF	390000	5% (J)	250V
Film Capacitor	390 nF	390000	5% (J)	275V
Film Capacitor	390 nF	390000	5% (J)	375V
Film Capacitor	390 nF	390000	5% (J)	400V
Film Capacitor	390 nF	390000	5% (J)	450V
Film Capacitor	390 nF	390000	5% (J)	630V
Film Capacitor	470 nF	470000	5% (J)	16V
Film Capacitor	470 nF	470000	5% (J)	25V
Film Capacitor	470 nF	470000	5% (J)	50V
Film Capacitor	470 nF	470000	5% (J)	63V
Film Capacitor	470 nF	470000	5% (J)	90V
Film Capacitor	470 nF	470000	5% (J)	100V
Film Capacitor	470 nF	470000	5% (J)	110V
Film Capacitor	470 nF	470000	5% (J)	125V
Film Capacitor	470 nF	470000	5% (J)	250V
Film Capacitor	470 nF	470000	5% (J)	275V
Film Capacitor	470 nF	470000	5% (J)	375V
Film Capacitor	470 nF	470000	5% (J)	400V
Film Capacitor	470 nF	470000	5% (J)	450V
Film Capacitor	470 nF	470000	5% (J)	630V
Film Capacitor	560 nF	560000	5% (J)	16V
Film Capacitor	560 nF	560000	5% (J)	25V
Film Capacitor	560 nF	560000	5% (J)	50V
Film Capacitor	560 nF	560000	5% (J)	63V
Film Capacitor	560 nF	560000	5% (J)	90V
Film Capacitor	560 nF	560000	5% (J)	100V
Film Capacitor	560 nF	560000	5% (J)	110V
Film Capacitor	560 nF	560000	5% (J)	125V
Film Capacitor	560 nF	560000	5% (J)	250V
Film Capacitor	560 nF	560000	5% (J)	275V
Film Capacitor	560 nF	560000	5% (J)	375V
Film Capacitor	560 nF	560000	5% (J)	400V
Film Capacitor	560 nF	560000	5% (J)	450V
Film Capacitor	560 nF	560000	5% (J)	630V
Film Capacitor	680 nF	680000	5% (J)	16V
Film Capacitor	680 nF	680000	5% (J)	25V
Film Capacitor	680 nF	680000	5% (J)	50V
Film Capacitor	680 nF	680000	5% (J)	63V
Film Capacitor	680 nF	680000	5% (J)	90V
Film Capacitor	680 nF	680000	5% (J)	100V
Film Capacitor	680 nF	680000	5% (J)	110V
Film Capacitor	680 nF	680000	5% (J)	125V
Film Capacitor	680 nF	680000	5% (J)	250V
Film Capacitor	680 nF	680000	5% (J)	275V
Film Capacitor	680 nF	680000	5% (J)	375V
Film Capacitor	680 nF	680000	5% (J)	400V
Film Capacitor	680 nF	680000	5% (J)	450V
Film Capacitor	680 nF	680000	5% (J)	630V
Film Capacitor	820 nF	819999	5% (J)	16V
Film Capacitor	820 nF	819999	5% (J)	25V
Film Capacitor	820 nF	819999	5% (J)	50V
Film Capacitor	820 nF	819999	5% (J)	63V
Film Capacitor	820 nF	819999	5% (J)	90V
Film Capacitor	820 nF	819999	5% (J)	100V
Film Capacitor	820 nF	819999	5% (J)	110V
Film Capacitor	820 nF	819999	5% (J)	125V
Film Capacitor	820 nF	819999	5% (J)	250V
Film Capacitor	820 nF	819999	5% (J)	275V
Film Capacitor	820 nF	819999	5% (J)	375V
Film Capacitor	820 nF	819999	5% (J)	400V
Film Capacitor	820 nF	819999	5% (J)	450V
Film Capacitor	820 nF	819999	5% (J)	630V
Film Capacitor	1 uF	1000000	5% (J)	16V
Film Capacitor	1 uF	1000000	5% (J)	25V
Film Capacitor	1 uF	1000000	5% (J)	50V
Film Capacitor	1 uF	1000000	5% (J)	63V
Film Capacitor	1 uF	1000000	5% (J)	90V
Film Capacitor	1 uF	1000000	5% (J)	100V
Film Capacitor	1 uF	1000000	5% (J)	110V
Film Capacitor	1 uF	1000000	5% (J)	125V
Film Capacitor	1 uF	1000000	5% (J)	250V
Film Capacitor	1 uF	1000000	5% (J)	275V
Film Capacitor	1 uF	1000000	5% (J)	375V
Film Capacitor	1 uF	1000000	5% (J)	400V
Film Capacitor	1 uF	1000000	5% (J)	450V
Film Capacitor	1 uF	1000000	5% (J)	630V
Film Capacitor	1.2 uF	1200000	5% (J)	16V
Film Capacitor	1.2 uF	1200000	5% (J)	25V
Film Capacitor	1.2 uF	1200000	5% (J)	50V
Film Capacitor	1.2 uF	1200000	5% (J)	63V
Film Capacitor	1.2 uF	1200000	5% (J)	90V
Film Capacitor	1.2 uF	1200000	5% (J)	100V
Film Capacitor	1.2 uF	1200000	5% (J)	110V
Film Capacitor	1.2 uF	1200000	5% (J)	125V
Film Capacitor	1.2 uF	1200000	5% (J)	250V
Film Capacitor	1.2 uF	1200000	5% (J)	275V
Film Capacitor	1.2 uF	1200000	5% (J)	375V
Film Capacitor	1.2 uF	1200000	5% (J)	400V
Film Capacitor	1.2 uF	1200000	5% (J)	450V
Film Capacitor	1.2 uF	1200000	5% (J)	630V
Film Capacitor	1.5 uF	1500000	5% (J)	16V
Film Capacitor	1.5 uF	1500000	5% (J)	25V
Film Capacitor	1.5 uF	1500000	5% (J)	50V
Film Capacitor	1.5 uF	1500000	5% (J)	63V
Film Capacitor	1.5 uF	1500000	5% (J)	90V
Film Capacitor	1.5 uF	1500000	5% (J)	100V
Film Capacitor	1.5 uF	1500000	5% (J)	110V
Film Capacitor	1.5 uF	1500000	5% (J)	125V
Film Capacitor	1.5 uF	1500000	5% (J)	250V
Film Capacitor	1.5 uF	1500000	5% (J)	275V
