
Type	Value	Ohm Rating (Numerical)	Accuracy	Power
Carbon	180 Ohm	180	20%	0.5W
Carbon	200 Ohm	200	20%	0.5W
Carbon	220 Ohm	220	20%	0.5W
Carbon	240 Ohm	240	20%	0.5W
Carbon	270 Ohm	270	20%	0.5W
Carbon	300 Ohm	300	20%	0.5W
Carbon	330 Ohm	330	20%	0.5W
Carbon	360 Ohm	360	20%	0.5W
Carbon	390 Ohm	390	20%	0.5W
Carbon	430 Ohm	430	20%	0.5W
Carbon	470 Ohm	470	20%	0.5W
Carbon	510 Ohm	509	20%	0.5W
Carbon	560 Ohm	560	20%	0.5W
Carbon	620 Ohm	620	20%	0.5W
Carbon	680 Ohm	680	20%	0.5W
Carbon	750 Ohm	750	20%	0.5W
Carbon	820 Ohm	819	20%	0.5W
Carbon	910 Ohm	910	20%	0.5W
Carbon	1 kOhm	1000	20%	0.5W
Carbon	1.1 kOhm	1100	20%	0.5W
Carbon	1.2 kOhm	1200	20%	0.5W
Carbon	1.3 kOhm	1300	20%	0.5W
Carbon	1.5 kOhm	1500	20%	0.5W
Carbon	1.6 kOhm	1600	20%	0.5W
Carbon	1.8 kOhm	1800	20%	0.5W
Carbon	2 kOhm	2000	20%	0.5W
Carbon	2.2 kOhm	2200	20%	0.5W
Carbon	2.4 kOhm	2400	20%	0.5W
Carbon	2.7 kOhm	2700	20%	0.5W
Carbon	3 kOhm	3000	20%	0.5W
Carbon	3.3 kOhm	3300	20%	0.5W
Carbon	3.6 kOhm	3600	20%	0.5W
Carbon	3.9 kOhm	3900	20%	0.5W
Carbon	4.3 kOhm	4300	20%	0.5W
Carbon	4.7 kOhm	4700	20%	0.5W
Carbon	5.1 kOhm	5100	20%	0.5W
Carbon	5.6 kOhm	5600	20%	0.5W
Carbon	6.2 kOhm	6200	20%	0.5W
Carbon	6.8 kOhm	6800	20%	0.5W
Carbon	7.5 kOhm	7500	20%	0.5W
Carbon	8.2 kOhm	8200	20%	0.5W
Carbon	9.1 kOhm	9100	20%	0.5W
Carbon	10 kOhm	10000	20%	0.5W
Carbon	11 kOhm	11000	20%	0.5W
Carbon	12 kOhm	12000	20%	0.5W
Carbon	13 kOhm	13000	20%	0.5W
Carbon	15 kOhm	15000	20%	0.5W
Carbon	16 kOhm	16000	20%	0.5W
Carbon	18 kOhm	18000	20%	0.5W
Carbon	20 kOhm	20000	20%	0.5W
Carbon	22 kOhm	22000	20%	0.5W
Carbon	24 kOhm	24000	20%	0.5W
Carbon	27 kOhm	27000	20%	0.5W
Carbon	30 kOhm	30000	20%	0.5W
Carbon	33 kOhm	33000	20%	0.5W
Carbon	36 kOhm	36000	20%	0.5W
Carbon	39 kOhm	39000	20%	0.5W
Carbon	43 kOhm	43000	20%	0.5W
Carbon	47 kOhm	47000	20%	0.5W
Carbon	51 kOhm	51000	20%	0.5W
Carbon	56 kOhm	56000	20%	0.5W
Carbon	62 kOhm	62000	20%	0.5W
Carbon	68 kOhm	68000	20%	0.5W
Carbon	75 kOhm	75000	20%	0.5W
Carbon	82 kOhm	82000	20%	0.5W
Carbon	91 kOhm	91000	20%	0.5W
Carbon	100 kOhm	100000	20%	0.5W
Carbon	110 kOhm	110000	20%	0.5W
Carbon	120 kOhm	120000	20%	0.5W
Carbon	130 kOhm	130000	20%	0.5W
Carbon	150 kOhm	150000	20%	0.5W
Carbon	160 kOhm	160000	20%	0.5W
Carbon	180 kOhm	180000	20%	0.5W
Carbon	200 kOhm	200000	20%	0.5W
Carbon	220 kOhm	220000	20%	0.5W
Carbon	240 kOhm	240000	20%	0.5W
Carbon	270 kOhm	270000	20%	0.5W
Carbon	300 kOhm	300000	20%	0.5W
Carbon	330 kOhm	330000	20%	0.5W
Carbon	360 kOhm	360000	20%	0.5W
Carbon	390 kOhm	390000	20%	0.5W
Carbon	430 kOhm	430000	20%	0.5W
Carbon	470 kOhm	470000	20%	0.5W
Carbon	510 kOhm	509999	20%	0.5W
Carbon	560 kOhm	560000	20%	0.5W
Carbon	620 kOhm	620000	20%	0.5W
Carbon	680 kOhm	680000	20%	0.5W
Carbon	750 kOhm	750000	20%	0.5W
Carbon	820 kOhm	819999	20%	0.5W
Carbon	910 kOhm	910000	20%	0.5W
Carbon	1 MOhm	1000000	20%	0.5W
Carbon	1.1 MOhm	1100000	20%	0.5W
Carbon	1.2 MOhm	1200000	20%	0.5W
Carbon	1.3 MOhm	1300000	20%	0.5W
Carbon	1.5 MOhm	1500000	20%	0.5W
Carbon	1.6 MOhm	1600000	20%	0.5W
Carbon	1.8 MOhm	1800000	20%	0.5W
Carbon	2 MOhm	2000000	20%	0.5W
Carbon	2.2 MOhm	2200000	20%	0.5W
Carbon	2.4 MOhm	2400000	20%	0.5W
Carbon	2.7 MOhm	2700000	20%	0.5W
Carbon	3 MOhm	3000000	20%	0.5W
Carbon	3.3 MOhm	3300000	20%	0.5W
Carbon	3.6 MOhm	3600000	20%	0.5W
Carbon	3.9 MOhm	3900000	20%	0.5W
Carbon	4.3 MOhm	4300000	20%	0.5W
Carbon	4.7 MOhm	4700000	20%	0.5W
Carbon	5.1 MOhm	5100000	20%	0.5W
Carbon	5.6 MOhm	5600000	20%	0.5W
Carbon	6.2 MOhm	6200000	20%	0.5W
Carbon	6.8 MOhm	6800000	20%	0.5W
Carbon	7.5 MOhm	7500000	20%	0.5W
Carbon	8.2 MOhm	8199999	20%	0.5W
Carbon	9.1 MOhm	9100000	20%	0.5W
Carbon	10 MOhm	10000000	20%	0.5W
