
Type	Value	pF	Accuracy	Voltage Rating
Film Capacitor	22 nF	22000	20% (M)	110V
Film Capacitor	22 nF	22000	20% (M)	125V
Film Capacitor	22 nF	22000	20% (M)	250V
Film Capacitor	22 nF	22000	20% (M)	275V
Film Capacitor	22 nF	22000	20% (M)	375V
Film Capacitor	22 nF	22000	20% (M)	400V
Film Capacitor	22 nF	22000	20% (M)	450V
Film Capacitor	22 nF	22000	20% (M)	630V
Film Capacitor	27 nF	27000	20% (M)	16V
Film Capacitor	27 nF	27000	20% (M)	25V
Film Capacitor	27 nF	27000	20% (M)	50V
Film Capacitor	27 nF	27000	20% (M)	63V
Film Capacitor	27 nF	27000	20% (M)	90V
Film Capacitor	27 nF	27000	20% (M)	100V
Film Capacitor	27 nF	27000	20% (M)	110V
Film Capacitor	27 nF	27000	20% (M)	125V
Film Capacitor	27 nF	27000	20% (M)	250V
Film Capacitor	27 nF	27000	20% (M)	275V
Film Capacitor	27 nF	27000	20% (M)	375V
Film Capacitor	27 nF	27000	20% (M)	400V
Film Capacitor	27 nF	27000	20% (M)	450V
Film Capacitor	27 nF	27000	20% (M)	630V
Film Capacitor	33 nF	33000	20% (M)	16V
Film Capacitor	33 nF	33000	20% (M)	25V
Film Capacitor	33 nF	33000	20% (M)	50V
Film Capacitor	33 nF	33000	20% (M)	63V
Film Capacitor	33 nF	33000	20% (M)	90V
Film Capacitor	33 nF	33000	20% (M)	100V
Film Capacitor	33 nF	33000	20% (M)	110V
Film Capacitor	33 nF	33000	20% (M)	125V
Film Capacitor	33 nF	33000	20% (M)	250V
Film Capacitor	33 nF	33000	20% (M)	275V
Film Capacitor	33 nF	33000	20% (M)	375V
Film Capacitor	33 nF	33000	20% (M)	400V
Film Capacitor	33 nF	33000	20% (M)	450V
Film Capacitor	33 nF	33000	20% (M)	630V
Film Capacitor	39 nF	39000	20% (M)	16V
Film Capacitor	39 nF	39000	20% (M)	25V
Film Capacitor	39 nF	39000	20% (M)	50V
Film Capacitor	39 nF	39000	20% (M)	63V
Film Capacitor	39 nF	39000	20% (M)	90V
Film Capacitor	39 nF	39000	20% (M)	100V
Film Capacitor	39 nF	39000	20% (M)	110V
Film Capacitor	39 nF	39000	20% (M)	125V
Film Capacitor	39 nF	39000	20% (M)	250V
Film Capacitor	39 nF	39000	20% (M)	275V
Film Capacitor	39 nF	39000	20% (M)	375V
Film Capacitor	39 nF	39000	20% (M)	400V
Film Capacitor	39 nF	39000	20% (M)	450V
Film Capacitor	39 nF	39000	20% (M)	630V
Film Capacitor	47 nF	47000	20% (M)	16V
Film Capacitor	47 nF	47000	20% (M)	25V
Film Capacitor	47 nF	47000	20% (M)	50V
Film Capacitor	47 nF	47000	20% (M)	63V
Film Capacitor	47 nF	47000	20% (M)	90V
Film Capacitor	47 nF	47000	20% (M)	100V
Film Capacitor	47 nF	47000	20% (M)	110V
Film Capacitor	47 nF	47000	20% (M)	125V
Film Capacitor	47 nF	47000	20% (M)	250V
Film Capacitor	47 nF	47000	20% (M)	275V
Film Capacitor	47 nF	47000	20% (M)	375V
Film Capacitor	47 nF	47000	20% (M)	400V
Film Capacitor	47 nF	47000	20% (M)	450V
Film Capacitor	47 nF	47000	20% (M)	630V
Film Capacitor	56 nF	56000	20% (M)	16V
Film Capacitor	56 nF	56000	20% (M)	25V
Film Capacitor	56 nF	56000	20% (M)	50V
Film Capacitor	56 nF	56000	20% (M)	63V
Film Capacitor	56 nF	56000	20% (M)	90V
Film Capacitor	56 nF	56000	20% (M)	100V
Film Capacitor	56 nF	56000	20% (M)	110V
Film Capacitor	56 nF	56000	20% (M)	125V
Film Capacitor	56 nF	56000	20% (M)	250V
Film Capacitor	56 nF	56000	20% (M)	275V
Film Capacitor	56 nF	56000	20% (M)	375V
Film Capacitor	56 nF	56000	20% (M)	400V
Film Capacitor	56 nF	56000	20% (M)	450V
Film Capacitor	56 nF	56000	20% (M)	630V
Film Capacitor	68 nF	68000	20% (M)	16V
Film Capacitor	68 nF	68000	20% (M)	25V
Film Capacitor	68 nF	68000	20% (M)	50V
Film Capacitor	68 nF	68000	20% (M)	63V
Film Capacitor	68 nF	68000	20% (M)	90V
Film Capacitor	68 nF	68000	20% (M)	100V
Film Capacitor	68 nF	68000	20% (M)	110V
Film Capacitor	68 nF	68000	20% (M)	125V
Film Capacitor	68 nF	68000	20% (M)	250V
Film Capacitor	68 nF	68000	20% (M)	275V
Film Capacitor	68 nF	68000	20% (M)	375V
Film Capacitor	68 nF	68000	20% (M)	400V
Film Capacitor	68 nF	68000	20% (M)	450V
Film Capacitor	68 nF	68000	20% (M)	630V
Film Capacitor	82 nF	82000	20% (M)	16V
Film Capacitor	82 nF	82000	20% (M)	25V
Film Capacitor	82 nF	82000	20% (M)	50V
Film Capacitor	82 nF	82000	20% (M)	63V
Film Capacitor	82 nF	82000	20% (M)	90V
Film Capacitor	82 nF	82000	20% (M)	100V
Film Capacitor	82 nF	82000	20% (M)	110V
Film Capacitor	82 nF	82000	20% (M)	125V
Film Capacitor	82 nF	82000	20% (M)	250V
Film Capacitor	82 nF	82000	20% (M)	275V
Film Capacitor	82 nF	82000	20% (M)	375V
Film Capacitor	82 nF	82000	20% (M)	400V
Film Capacitor	82 nF	82000	20% (M)	450V
Film Capacitor	82 nF	82000	20% (M)	630V
Film Capacitor	100 nF	100000	20% (M)	16V
Film Capacitor	100 nF	100000	20% (M)	25V
Film Capacitor	100 nF	100000	20% (M)	50V
Film Capacitor	100 nF	100000	20% (M)	63V
Film Capacitor	100 nF	100000	20% (M)	90V
Film Capacitor	100 nF	100000	20% (M)	100V
Film Capacitor	100 nF	100000	20% (M)	110V
Film Capacitor	100 nF	100000	20% (M)	125V
Film Capacitor	100 nF	100000	20% (M)	250V
Film Capacitor	100 nF	100000	20% (M)	275V
Film Capacitor	100 nF	100000	20% (M)	375V
Film Capacitor	100 nF	100000	20% (M)	400V
Film Capacitor	100 nF	100000	20% (M)	450V
Film Capacitor	100 nF	100000	20% (M)	630V
Film Capacitor	120 nF	120000	20% (M)	16V
Film Capacitor	120 nF	120000	20% (M)	25V
Film Capacitor	120 nF	120000	20% (M)	50V
Film Capacitor	120 nF	120000	20% (M)	63V
Film Capacitor	120 nF	120000	20% (M)	90V
Film Capacitor	120 nF	120000	20% (M)	100V
Film Capacitor	120 nF	120000	20% (M)	110V
Film Capacitor	120 nF	120000	20% (M)	125V
Film Capacitor	120 nF	120000	20% (M)	250V
Film Capacitor	120 nF	120000	20% (M)	275V
Film Capacitor	120 nF	120000	20% (M)	375V
Film Capacitor	120 nF	120000	20% (M)	400V
Film Capacitor	120 nF	120000	20% (M)	450V
Film Capacitor	120 nF	120000	20% (M)	630V
Film Capacitor	150 nF	150000	20% (M)	16V
Film Capacitor	150 nF	150000	20% (M)	25V
Film Capacitor	150 nF	150000	20% (M)	50V
Film Capacitor	150 nF	150000	20% (M)	63V
Film Capacitor	150 nF	150000	20% (M)	90V
Film Capacitor	150 nF	150000	20% (M)	100V
Film Capacitor	150 nF	150000	20% (M)	110V
Film Capacitor	150 nF	150000	20% (M)	125V
Film Capacitor	150 nF	150000	20% (M)	250V
Film Capacitor	150 nF	150000	20% (M)	275V
Film Capacitor	150 nF	150000	20% (M)	375V
Film Capacitor	150 nF	150000	20% (M)	400V
Film Capacitor	150 nF	150000	20% (M)	450V
Film Capacitor	150 nF	150000	20% (M)	630V
Film Capacitor	180 nF	180000	20% (M)	16V
Film Capacitor	180 nF	180000	20% (M)	25V
Film Capacitor	180 nF	180000	20% (M)	50V
Film Capacitor	180 nF	180000	20% (M)	63V
Film Capacitor	180 nF	180000	20% (M)	90V
Film Capacitor	180 nF	180000	20% (M)	100V
Film Capacitor	180 nF	180000	20% (M)	110V
Film Capacitor	180 nF	180000	20% (M)	125V
Film Capacitor	180 nF	180000	20% (M)	250V
Film Capacitor	180 nF	180000	20% (M)	275V
Film Capacitor	180 nF	180000	20% (M)	375V
Film Capacitor	180 nF	180000	20% (M)	400V
Film Capacitor	180 nF	180000	20% (M)	450V
Film Capacitor	180 nF	180000	20% (M)	630V
Film Capacitor	220 nF	220000	20% (M)	16V
Film Capacitor	220 nF	220000	20% (M)	25V
Film Capacitor	220 nF	220000	20% (M)	50V
Film Capacitor	220 nF	220000	20% (M)	63V
Film Capacitor	220 nF	220000	20% (M)	90V
Film Capacitor	220 nF	220000	20% (M)	100V
Film Capacitor	220 nF	220000	20% (M)	110V
Film Capacitor	220 nF	220000	20% (M)	125V
Film Capacitor	220 nF	220000	20% (M)	250V
Film Capacitor	220 nF	220000	20% (M)	275V
Film Capacitor	220 nF	220000	20% (M)	375V
Film Capacitor	220 nF	220000	20% (M)	400V
Film Capacitor	220 nF	220000	20% (M)	450V
Film Capacitor	220 nF	220000	20% (M)	630V
Film Capacitor	270 nF	270000	20% (M)	16V
Film Capacitor	270 nF	270000	20% (M)	25V
Film Capacitor	270 nF	270000	20% (M)	50V
Film Capacitor	270 nF	270000	20% (M)	63V
Film Capacitor	270 nF	270000	20% (M)	90V
Film Capacitor	270 nF	270000	20% (M)	100V
Film Capacitor	270 nF	270000	20% (M)	110V
Film Capacitor	270 nF	270000	20% (M)	125V
Film Capacitor	270 nF	270000	20% (M)	250V
Film Capacitor	270 nF	270000	20% (M)	275V
Film Capacitor	270 nF	270000	20% (M)	375V
Film Capacitor	270 nF	270000	20% (M)	400V
Film Capacitor	270 nF	270000	20% (M)	450V
Film Capacitor	270 nF	270000	20% (M)	630V
Film Capacitor	330 nF	330000	20% (M)	16V
Film Capacitor	330 nF	330000	20% (M)	25V
Film Capacitor	330 nF	330000	20% (M)	50V
Film Capacitor	330 nF	330000	20% (M)	63V
Film Capacitor	330 nF	330000	20% (M)	90V
Film Capacitor	330 nF	330000	20% (M)	100V
Film Capacitor	330 nF	330000	20% (M)	110V
Film Capacitor	330 nF	330000	20% (M)	125V
Film Capacitor	330 nF	330000	20% (M)	250V
Film Capacitor	330 nF	330000	20% (M)	275V
Film Capacitor	330 nF	330000	20% (M)	375V
Film Capacitor	330 nF	330000	20% (M)	400V
Film Capacitor	330 nF	330000	20% (M)	450V
Film Capacitor	330 nF	330000	20% (M)	630V
Film Capacitor	390 nF	390000	20% (M)	16V
Film Capacitor	390 nF	390000	20% (M)	25V
Film Capacitor	390 nF	390000	20% (M)	50V
Film Capacitor	390 nF	390000	20% (M)	63V
Film Capacitor	390 nF	390000	20% (M)	90V
Film Capacitor	390 nF	390000	20% (M)	100V
Film Capacitor	390 nF	390000	20% (M)	110V
Film Capacitor	390 nF	390000	20% (M)	125V
Film Capacitor	390 nF	390000	20% (M)	250V
Film Capacitor	390 nF	390000	20% (M)	275V
Film Capacitor	390 nF	390000	20% (M)	375V
Film Capacitor	390 nF	390000	20% (M)	400V
Film Capacitor	390 nF	390000	20% (M)	450V
Film Capacitor	390 nF	390000	20% (M)	630V
Film Capacitor	470 nF	470000	20% (M)	16V
Film Capacitor	470 nF	470000	20% (M)	25V
Film Capacitor	470 nF	470000	20% (M)	50V
Film Capacitor	470 nF	470000	20% (M)	63V
Film Capacitor	470 nF	470000	20% (M)	90V
Film Capacitor	470 nF	470000	20% (M)	100V
Film Capacitor	470 nF	470000	20% (M)	110V
Film Capacitor	470 nF	470000	20% (M)	125V
Film Capacitor	470 nF	470000	20% (M)	250V
Film Capacitor	470 nF	470000	20% (M)	275V
Film Capacitor	470 nF	470000	20% (M)	375V
Film Capacitor	470 nF	470000	20% (M)	400V
Film Capacitor	470 nF	470000	20% (M)	450V
Film Capacitor	470 nF	470000	20% (M)	630V
Film Capacitor	560 nF	560000	20% (M)	16V
Film Capacitor	560 nF	560000	20% (M)	25V
Film Capacitor	560 nF	560000	20% (M)	50V
Film Capacitor	560 nF	560000	20% (M)	63V
Film Capacitor	560 nF	560000	20% (M)	90V
Film Capacitor	560 nF	560000	20% (M)	100V
Film Capacitor	560 nF	560000	20% (M)	110V
Film Capacitor	560 nF	560000	20% (M)	125V
Film Capacitor	560 nF	560000	20% (M)	250V
Film Capacitor	560 nF	560000	20% (M)	275V
Film Capacitor	560 nF	560000	20% (M)	375V
Film Capacitor	560 nF	560000	20% (M)	400V
Film Capacitor	560 nF	560000	20% (M)	450V
Film Capacitor	560 nF	560000	20% (M)	630V
Film Capacitor	680 nF	680000	20% (M)	16V
Film Capacitor	680 nF	680000	20% (M)	25V
Film Capacitor	680 nF	680000	20% (M)	50V
Film Capacitor	680 nF	680000	20% (M)	63V
Film Capacitor	680 nF	680000	20% (M)	90V
Film Capacitor	680 nF	680000	20% (M)	100V
Film Capacitor	680 nF	680000	20% (M)	110V
Film Capacitor	680 nF	680000	20% (M)	125V
Film Capacitor	680 nF	680000	20% (M)	250V
Film Capacitor	680 nF	680000	20% (M)	275V
Film Capacitor	680 nF	680000	20% (M)	375V
Film Capacitor	680 nF	680000	20% (M)	400V
Film Capacitor	680 nF	680000	20% (M)	450V
Film Capacitor	680 nF	680000	20% (M)	630V
Film Capacitor	820 nF	819999	20% (M)	16V
Film Capacitor	820 nF	819999	20% (M)	25V
Film Capacitor	820 nF	819999	20% (M)	50V
Film Capacitor	820 nF	819999	20% (M)	63V
Film Capacitor	820 nF	819999	20% (M)	90V
Film Capacitor	820 nF	819999	20% (M)	100V
Film Capacitor	820 nF	819999	20% (M)	110V
Film Capacitor	820 nF	819999	20% (M)	125V
Film Capacitor	820 nF	819999	20% (M)	250V
Film Capacitor	820 nF	819999	20% (M)	275V
Film Capacitor	820 nF	819999	20% (M)	375V
Film Capacitor	820 nF	819999	20% (M)	400V
Film Capacitor	820 nF	819999	20% (M)	450V
Film Capacitor	820 nF	819999	20% (M)	630V
Film Capacitor	1 uF	1000000	20% (M)	16V
Film Capacitor	1 uF	1000000	20% (M)	25V
Film Capacitor	1 uF	1000000	20% (M)	50V
Film Capacitor	1 uF	1000000	20% (M)	63V
Film Capacitor	1 uF	1000000	20% (M)	90V
Film Capacitor	1 uF	1000000	20% (M)	100V
Film Capacitor	1 uF	1000000	20% (M)	110V
Film Capacitor	1 uF	1000000	20% (M)	125V
Film Capacitor	1 uF	1000000	20% (M)	250V
Film Capacitor	1 uF	1000000	20% (M)	275V
Film Capacitor	1 uF	1000000	20% (M)	375V
Film Capacitor	1 uF	1000000	20% (M)	400V
Film Capacitor	1 uF	1000000	20% (M)	450V
Film Capacitor	1 uF	1000000	20% (M)	630V
Film Capacitor	1.2 uF	1200000	20% (M)	16V
Film Capacitor	1.2 uF	1200000	20% (M)	25V
Film Capacitor	1.2 uF	1200000	20% (M)	50V
Film Capacitor	1.2 uF	1200000	20% (M)	63V
Film Capacitor	1.2 uF	1200000	20% (M)	90V
Film Capacitor	1.2 uF	1200000	20% (M)	100V
Film Capacitor	1.2 uF	1200000	20% (M)	110V
Film Capacitor	1.2 uF	1200000	20% (M)	125V
Film Capacitor	1.2 uF	1200000	20% (M)	250V
Film Capacitor	1.2 uF	1200000	20% (M)	275V
Film Capacitor	1.2 uF	1200000	20% (M)	375V
Film Capacitor	1.2 uF	1200000	20% (M)	400V
Film Capacitor	1.2 uF	1200000	20% (M)	450V
Film Capacitor	1.2 uF	1200000	20% (M)	630V
Film Capacitor	1.5 uF	1500000	20% (M)	16V
Film Capacitor	1.5 uF	1500000	20% (M)	25V
Film Capacitor	1.5 uF	1500000	20% (M)	50V
Film Capacitor	1.5 uF	1500000	20% (M)	63V
Film Capacitor	1.5 uF	1500000	20% (M)	90V
Film Capacitor	1.5 uF	1500000	20% (M)	100V
Film Capacitor	1.5 uF	1500000	20% (M)	110V
Film Capacitor	1.5 uF	1500000	20% (M)	125V
Film Capacitor	1.5 uF	1500000	20% (M)	250V
Film Capacitor	1.5 uF	1500000	20% (M)	275V
